title,acronym,ordinal,city,country,startDate,endDate,year,wikiCfpid,dblpid,seriesTitle,url,describedAtUrl
"Electronic Governance and Open Society: Challenges in Eurasia - 6th International Conference, EGOSE 2019, St. Petersburg, Russia, November 13-14, 2019",EGOSE 2019,6.0,,Russia,2019-11-13,2019-11-14,2019.0,,,International Conference on Electronic Governance and Open Society,http://www.wikidata.org/entity/Q106336230,https://dblp.org/db/conf/egose/egose2019.html
"Twelfth International Conference on 3D Web Technology, Web3D 2007, Perugia, Italy, April 15-18, 2007",Web3D 2007,12.0,,Italy,2007-04-15,2007-04-18,2007.0,,,International Conference on 3D Technologies for the World Wide Web,http://www.wikidata.org/entity/Q106244025,https://dblp.org/db/conf/vrml/web3d2007.html
"1997 International Conference on Computer Design: VLSI in Computers & Processors, ICCD '97, Austin, Texas, USA, October 12-15, 1997",ICCD 1997,15.0,Austin,United States of America,1997-10-12,1997-10-15,1997.0,,,International Conference on Computer Design,http://www.wikidata.org/entity/Q106335996,https://dblp.org/db/conf/iccd/iccd97.html
"1990 IEEE International Conference on Computer Design: VLSI in Computers and Processors, ICCD 1990, Cambridge, MA, USA, 17-19 September, 1990",ICCD 1990,8.0,,United States of America,1990-09-17,1990-09-19,1990.0,,,International Conference on Computer Design,http://www.wikidata.org/entity/Q106336040,https://dblp.org/db/conf/iccd/iccd1990.html
"Tenth International Conference on 3D Web Technology, Web3D 2005, Bangor, UK, March 29 - April 1, 2005",Web3D 2005,10.0,,United Kingdom,2005-03-29,2005-04-01,2005.0,,,International Conference on 3D Technologies for the World Wide Web,http://www.wikidata.org/entity/Q106244027,https://dblp.org/db/conf/vrml/web3d2005.html
"Progress in Cryptology - LATINCRYPT 2010, First International Conference on Cryptology and Information Security in Latin America, Puebla, Mexico, August 8-11, 2010",LATINCRYPT 2010,1.0,,Mexico,2010-08-08,2010-08-11,2010.0,,,International Conference on Cryptology and Information Security in Latin America,http://www.wikidata.org/entity/Q106336141,https://dblp.org/db/conf/latincrypt/latincrypt2010.html
"GRAPP 2006: First International Conference on Computer Graphics Theory and Applications, Setúbal, Portugal, February 25-28, 2006",GRAPP 2006,1.0,,Portugal,2006-02-25,2006-02-28,2006.0,,,International Conference on Computer Graphics Theory and Applications,http://www.wikidata.org/entity/Q106336042,https://dblp.org/db/conf/grapp/grapp2006.html
"1991 IEEE International Conference on Computer Design: VLSI in Computer & Processors, ICCD '91, Cambridge, MA, USA, October 14-16, 1991",ICCD 1991,9.0,,United States of America,1991-10-14,1991-10-16,1991.0,,,International Conference on Computer Design,http://www.wikidata.org/entity/Q106336038,https://dblp.org/db/conf/iccd/iccd1991.html
"Sixth International Conference on Information Technologies in Environmental Engineering, ITEE2013, Lüneburg, Germany, July 10-12, 2013",ITEE 2013,6.0,,Germany,2013-07-10,2013-07-12,2013.0,,,Information Technologies in Environmental Engineering,http://www.wikidata.org/entity/Q106243961,https://dblp.org/db/conf/itee/itee2013.html
"Pattern Recognition and Image Analysis - 9th Iberian Conference, IbPRIA 2019, Madrid, Spain, July 1-4, 2019",IbPRIA 2019,9.0,Madrid,Spain,2019-07-01,2019-07-04,2019.0,,,Iberian Conference on Pattern Recognition and Image Analysis,http://www.wikidata.org/entity/Q106243917,https://dblp.org/db/conf/ibpria/ibpria2019-1.html
"Tenth International Conference on Soft Computing and Pattern Recognition, SoCPaR 2018, Porto, Portugal, December 13-15, 2018",SoCPaR 2018,10.0,Porto,Portugal,2018-12-13,2018-12-15,2018.0,,,International Conference of Soft Computing and Pattern Recognition,http://www.wikidata.org/entity/Q106244018,https://dblp.org/db/conf/socpar/socpar2018.html
"Pattern Recognition and Image Analysis - 8th Iberian Conference, IbPRIA 2017, Faro, Portugal, June 20-23, 2017",IbPRIA 2017,8.0,,Portugal,2017-06-20,2017-06-23,2017.0,,,Iberian Conference on Pattern Recognition and Image Analysis,http://www.wikidata.org/entity/Q106243918,https://dblp.org/db/conf/ibpria/ibpria2017.html
"Information Technology in Bio- and Medical Informatics - 7th International Conference, ITBAM 2016, Porto, Portugal, September 5-8, 2016",ITBAM 2016,7.0,Porto,Portugal,2016-09-05,2016-09-08,2016.0,,,Information Technology and Communications in Health,http://www.wikidata.org/entity/Q106243964,https://dblp.org/db/conf/itbam/itbam2016.html
"Information Technology in Bio- and Medical Informatics - 8th International Conference, ITBAM 2017, Lyon, France, August 28-31, 2017",ITBAM 2017,8.0,Lyon,France,2017-08-28,2017-08-31,2017.0,,,Information Technology and Communications in Health,http://www.wikidata.org/entity/Q106243963,https://dblp.org/db/conf/itbam/itbam2017.html
"Information Technology in Bio- and Medical Informatics, ITBAM 2010, First International Conference, Bilbao, Spain, September 1-2, 2010",ITBAM 2010,1.0,,Spain,2010-09-01,2010-09-02,2010.0,,,Information Technology and Communications in Health,http://www.wikidata.org/entity/Q106243965,https://dblp.org/db/conf/itbam/itbam2010.html
"Ambient Intelligence, European Conference, AmI 2008, Nuremberg, Germany, November 19-22, 2008",AmI 2008,5.0,,Germany,2008-11-19,2008-11-22,2008.0,,,European Conference on Ambient Intelligence,http://www.wikidata.org/entity/Q106332883,https://dblp.org/db/conf/ami/ami2008.html
"Decision Support Systems and Education - Help and Support in Healthcare, Special Topic Conference of the European Federation for Medical Informatics, EFMI-STC 2018, Zagreb, Croatia, 15-16 October 2018",EFMI-STC 2018,,,Croatia,2018-10-15,2018-10-16,2018.0,,,EFMI Special Topic Conference,http://www.wikidata.org/entity/Q106332599,https://dblp.org/db/conf/efmi-stc/stc2018.html
"Human-Computer Interaction - INTERACT 2009, 12th IFIP TC 13 International Conference, Uppsala, Sweden, August 24-28, 2009",INTERACT 2009,12.0,,Sweden,2009-08-24,2009-08-28,2009.0,,,IFIP TC13 International Conference on Human-Computer Interaction,http://www.wikidata.org/entity/Q106243881,https://dblp.org/db/conf/interact/interact2009-1.html
"6th Seminar on Ontology Research in Brazil, Belo Horizonte, Brazil, September 23, 2013",ONTOBRAS 2013,6.0,,Brazil,,,,,,"Joint Seminar on Ontology Research in Brazil / International Workshop on Metamodels, Ontologies and Semantic Technologies",http://www.wikidata.org/entity/Q106338722,https://dblp.org/db/conf/ontobras/ontobras2013.html
"Ambient Intelligence - Third International Joint Conference, AmI 2012, Pisa, Italy, November 13-15, 2012",AmI 2012,9.0,Pisa,Italy,2012-11-13,2012-11-15,2012.0,,,European Conference on Ambient Intelligence,http://www.wikidata.org/entity/Q106332881,https://dblp.org/db/conf/ami/ami2012.html
"Practical Applications of Computational Biology & Bioinformatics, 14th International Conference (PACBB 2020), L'Aquila, Italy, 17-19 June, 2020",PACBB 2020,14.0,,Italy,2020-06-17,2020-06-19,2020.0,,,Practical Applications of Computational Biology & Bioinformatics,http://www.wikidata.org/entity/Q106339053,https://dblp.org/db/conf/pacbb/pacbb2020.html
"Engineering for Human-Computer Interaction, 8th IFIP International Conference, EHCI 2001, Toronto, Canada, May 11-13, 2001",EHCI 2001,8.0,,Canada,2001-05-11,2001-05-13,2001.0,,,IFIP Working Conference on Engineering for Human-Computer Interaction,http://www.wikidata.org/entity/Q106243884,https://dblp.org/db/conf/ehci/ehci2001.html
"Human-Computer Interaction - INTERACT 2015 - 15th IFIP TC 13 International Conference, Bamberg, Germany, September 14-18, 2015",INTERACT 2015,15.0,,Germany,2015-09-14,2015-09-18,2015.0,,,IFIP TC13 International Conference on Human-Computer Interaction,http://www.wikidata.org/entity/Q106243880,https://dblp.org/db/conf/interact/interact2015-1.html
"International Conference on Software Engineering Theory and Practice, SETP-07, Orlando, Florida, USA, July 9-12 2007",SETP 2007,,Orlando,United States of America,2007-07-09,2007-07-12,2007.0,,,Software Engineering Theory and Practice,http://www.wikidata.org/entity/Q106339225,https://dblp.org/db/conf/setp/setp2007.html
"13th ACIS International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing, SNPD 2012, Kyoto, Japan, August 8-10, 2012",SNPD 2012,13.0,Kyoto,Japan,2012-08-08,2012-08-10,2012.0,,,"Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",http://www.wikidata.org/entity/Q106339230,https://dblp.org/db/conf/snpd/snpd2012.html
"2016 SIAM International Conference on Data Mining, Miami, Florida, USA, May 5-7, 2016",SDM 2016,16.0,Miami,United States of America,2016-05-05,2016-05-07,2016.0,,,SIAM International Conference on Data Mining,http://www.wikidata.org/entity/Q106339139,https://dblp.org/db/conf/sdm/sdm2016.html
"Open research Areas in Information Retrieval, OAIR '13, Lisbon, Portugal, May 15-17, 2013",OAIR 2013,,Lisbon,Portugal,2013-05-15,2013-05-17,2013.0,,,Open research Areas in Information Retrieval,http://www.wikidata.org/entity/Q106338996,https://dblp.org/db/conf/riao/oair2013.html
"Computer-Assisted Information Retrieval (Recherche d'Information et ses Applications) - RIAO 2007, 8th International Conference, Carnegie Mellon University, Pittsburgh, PA, USA, May 30 - June 1, 2007",RIAO 2007,8.0,Pittsburgh,United States of America,2007-05-30,2007-06-01,2007.0,,,Open research Areas in Information Retrieval,http://www.wikidata.org/entity/Q106338998,https://dblp.org/db/conf/riao/riao2007.html
"2017 SIAM International Conference on Data Mining, Houston, Texas, USA, April 27-29, 2017",SDM 2017,17.0,Houston,United States of America,2017-04-27,2017-04-29,2017.0,,,SIAM International Conference on Data Mining,http://www.wikidata.org/entity/Q106339138,https://dblp.org/db/conf/sdm/sdm2017.html
"Third SIAM International Conference on Data Mining, San Francisco, CA, USA, May 1-3, 2003",SDM 2003,3.0,San Francisco,United States of America,2003-05-01,2003-05-03,2003.0,,,SIAM International Conference on Data Mining,http://www.wikidata.org/entity/Q106339141,https://dblp.org/db/conf/sdm/sdm2003.html
"11th ACIS International Conference on Software Engineering, Artificial Intelligences, Networking and Parallel/Distributed Computing, SNPD 2010, London, England, UK, June 9-11, 2010",SNPD 2010,11.0,London,United Kingdom,2010-06-09,2010-06-11,2010.0,,,"Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",http://www.wikidata.org/entity/Q106339231,https://dblp.org/db/conf/snpd/snpd2010.html
"2019 SIAM International Conference on Data Mining, SDM 2019, Calgary, Alberta, Canada, May 2-4, 2019",SDM 2019,19.0,,Canada,2019-05-02,2019-05-04,2019.0,,,SIAM International Conference on Data Mining,http://www.wikidata.org/entity/Q106339136,https://dblp.org/db/conf/sdm/sdm2019.html
"18th IEEE/ACIS International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing, SNPD 2017, Kanazawa, Japan, June 26-28, 2017",SNPD 2017,18.0,Kanazawa,Japan,2017-06-26,2017-06-28,2017.0,,,"Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",http://www.wikidata.org/entity/Q106339228,https://dblp.org/db/conf/snpd/snpd2017.html
"14th ACIS International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing, SNPD 2013, Honolulu, Hawaii, USA, 1-3 July, 2013",SNPD 2013,14.0,Honolulu,United States of America,2013-07-01,2013-07-03,2013.0,,,"Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",http://www.wikidata.org/entity/Q106339229,https://dblp.org/db/conf/snpd/snpd2013.html
"Second Annual ACM Conference on Assistive Technologies, ASSETS 1996, Vancouver, BC, Canada, April 11-12, 1996",Assets 1996,2.0,Vancouver,Canada,1996-04-11,1996-04-12,1996.0,,,International ACM SIGACCESS Conference on Computers and Accessibility,http://www.wikidata.org/entity/Q106244008,https://dblp.org/db/conf/assets/assets1996.html
"2020 SIAM International Conference on Data Mining, SDM 2020, Cincinnati, Ohio, USA, May 7-9, 2020",SDM 2020,20.0,,United States of America,2020-05-07,2020-05-09,2020.0,,,SIAM International Conference on Data Mining,http://www.wikidata.org/entity/Q106339135,https://dblp.org/db/conf/sdm/sdm2020.html
"2015 SIAM International Conference on Data Mining, Vancouver, BC, Canada, April 30 - May 2, 2015",SDM 2015,15.0,Vancouver,Canada,2015-04-30,2015-05-02,2015.0,,,SIAM International Conference on Data Mining,http://www.wikidata.org/entity/Q106339140,https://dblp.org/db/conf/sdm/sdm2015.html
"IC 2006: Ingénierie des connaissances 2006 (17th French Knowledge Engineering Conference), Nantes, France, June 26-30, 2006",IC 2006,17.0,,France,2006-06-26,2006-06-30,2006.0,,,Journées Francophones d'Ingénierie des Connaissances,http://www.wikidata.org/entity/Q106338751,https://dblp.org/db/conf/f-ic/ic2006.html
"IC 2017 : 28es Journées francophones d'Ingénierie des Connaissances (28th French Knowledge Engineering Conference), Caen, France, July 3-7, 2017",IC 2017,28.0,,France,2017-07-03,2017-07-07,2017.0,,,Journées Francophones d'Ingénierie des Connaissances,http://www.wikidata.org/entity/Q106338728,https://dblp.org/db/conf/f-ic/ic2017.html
"IC 2012 : 23es journées Ingénierie des Connaissances (23rd French Knowledge Engineering Conference), Paris, France, June 25-29, 2012",IC 2012,23.0,Paris,France,2012-06-25,2012-06-29,2012.0,,,Journées Francophones d'Ingénierie des Connaissances,http://www.wikidata.org/entity/Q106338729,https://dblp.org/db/conf/f-ic/ic2012.html
"IC 2007: Ingénierie des connaissances 2007 (18th French Knowledge Engineering Conference), Grenoble, France, July 4-6, 2007",IC 2007,18.0,Grenoble,France,2007-07-04,2007-07-06,2007.0,,,Journées Francophones d'Ingénierie des Connaissances,http://www.wikidata.org/entity/Q106338750,https://dblp.org/db/conf/f-ic/ic2007.html
"IC 2011 : 22es journées Ingénierie des Connaissances (22nd French Knowledge Engineering Conference), Chambery, France, May 16-20, 2011",IC 2011,22.0,,France,2011-05-16,2011-05-20,2011.0,,,Journées Francophones d'Ingénierie des Connaissances,http://www.wikidata.org/entity/Q106338731,https://dblp.org/db/conf/f-ic/ic2011.html
"46th IEEE International Symposium on Multiple-Valued Logic, ISMVL 2016, Sapporo, Japan, May 18-20, 2016",ISMVL 2016,46.0,Sapporo,Japan,2016-05-18,2016-05-20,2016.0,,,IEEE International Symposium on Multiple-Valued Logic,http://www.wikidata.org/entity/Q106243794,https://dblp.org/db/conf/ismvl/ismvl2016.html
"IC 2010 : 21es Journées Ingénierie des Connaissances 2010 (21st French Knowledge Engineering Conference), Nîmes, France, June 8-10, 2010",IC 2010,21.0,,France,2010-06-08,2010-06-10,2010.0,,,Journées Francophones d'Ingénierie des Connaissances,http://www.wikidata.org/entity/Q106338749,https://dblp.org/db/conf/f-ic/ic2010.html
"48th IEEE International Symposium on Multiple-Valued Logic, ISMVL 2018, Linz, Austria, May 16-18, 2018",ISMVL 2018,48.0,Linz,Austria,2018-05-16,2018-05-18,2018.0,,,IEEE International Symposium on Multiple-Valued Logic,http://www.wikidata.org/entity/Q106243792,https://dblp.org/db/conf/ismvl/ismvl2018.html
"16th Annual conference of the European Association for Machine Translation, EAMT 2012, Trento, Italy, May 28-30, 2012",EAMT Conference 2012,16.0,Trento,Italy,2012-05-28,2012-05-30,2012.0,,,European Association for Machine Translation Conferences/Workshops,http://www.wikidata.org/entity/Q106332874,https://dblp.org/db/conf/eamt/eamt2012.html
"13th Annual conference of the European Association for Machine Translation, EAMT 2009, Barcelona, Spain, May 14-15, 2009",EAMT Conference 2009,13.0,Barcelona,Spain,2009-05-14,2009-05-15,2009.0,,,European Association for Machine Translation Conferences/Workshops,http://www.wikidata.org/entity/Q106332876,https://dblp.org/db/conf/eamt/eamt2009.html
"11th Annual conference of the European Association for Machine Translation, EAMT 2006, Oslo, Norway, June 19-20, 2006",EAMT Conference 2006,11.0,Pest,Hungary,2006-06-19,2006-06-20,2006.0,,,European Association for Machine Translation Conferences/Workshops,http://www.wikidata.org/entity/Q106332878,https://dblp.org/db/conf/eamt/eamt2006.html
"2013 IEEE International Conference on Cybernetics, CYBCO 2013, Lausanne, Switzerland, June 13-15, 2013",CYBCO 2013,1.0,Lausanne,Switzerland,2013-06-13,2013-06-15,2013.0,,,International Conference on Cybernetics,http://www.wikidata.org/entity/Q106336155,https://dblp.org/db/conf/cybconf/cybconf2013.html
"6th International Conference on Computer Vision / Computer Graphics Collaboration Techniques and Applications, MIRAGE '13, Berlin, Germany - June 06 - 07, 2013",MIRAGE 2013,6.0,Berlin,Germany,2013-06-06,2013-06-07,2013.0,,,International Conference on Computer Vision/Computer Graphics Collaboration Techniques,http://www.wikidata.org/entity/Q106336076,https://dblp.org/db/conf/mirage/mirage2013.html
"14th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications, VISIGRAPP 2019, VISAPP, Prague, Czech Republic, February 25-27, 2019",VISAPP@VISIGRAPP 2019,14.0,Prague,Czech Republic,2019-02-25,2019-02-27,2019.0,,,International Conference on Computer Vision Theory and Applications,http://www.wikidata.org/entity/Q106336074,https://dblp.org/db/conf/visapp/visapp2019-1.html
"11th European Conference on Interactive TV and Video, EuroITV '13, Como, Italy, June 24-26, 2013",EuroITV 2013,11.0,Como,Italy,2013-06-24,2013-06-26,2013.0,,,European Conference on Interactive TV,http://www.wikidata.org/entity/Q106332900,https://dblp.org/db/conf/euroitv/euroitv2013.html
"9th International Interactive TV&Video Conference, EuroITV '11, Lisbon, Portugal, June 29 - July 01, 2011",EuroITV 2011,9.0,Lisbon,Portugal,2011-06-29,2011-07-01,2011.0,,,European Conference on Interactive TV,http://www.wikidata.org/entity/Q106332902,https://dblp.org/db/conf/euroitv/euroitv2011.html
"Fourth IEEE Symposium on Network Cloud Computing and Applications, NCCA 2015, Munich, Germany, June 11-12, 2015",NCCA 2015,4.0,Munich,United States of America,2015-06-11,2015-06-12,2015.0,,,Symposium on Network/Cloud Computing and Applications,http://www.wikidata.org/entity/Q106339318,https://dblp.org/db/conf/ncca/ncca2015.html
"Geographic Information Science, 6th International Conference, GIScience 2010, Zurich, Switzerland, September 14-17, 2010",GIScience 2010,6.0,Zürich,Switzerland,2010-09-14,2010-09-17,2010.0,,,International Conference Geographic Information Science,http://www.wikidata.org/entity/Q106244014,https://dblp.org/db/conf/giscience/giscience2010.html
"Cryptology and Network Security - 9th International Conference, CANS 2010, Kuala Lumpur, Malaysia, December 12-14, 2010",CANS 2010,9.0,Kuala Lumpur,Malaysia,2010-12-12,2010-12-14,2010.0,,,Cryptology and Network Security,http://www.wikidata.org/entity/Q106332137,https://dblp.org/db/conf/cans/cans2010.html
"Geographic Information Science, 4th International Conference, GIScience 2006, Münster, Germany, September 20-23, 2006",GIScience 2006,4.0,,Germany,2006-09-20,2006-09-23,2006.0,,,International Conference Geographic Information Science,http://www.wikidata.org/entity/Q106244017,https://dblp.org/db/conf/giscience/giscience2006.html
"5G for Future Wireless Networks - 2nd EAI International Conference, 5GWN 2019, Changsha, China, February 23-24, 2019",5GWN 2019,2.0,,People's Republic of China,2019-02-23,2019-02-24,2019.0,,,International Conference on 5G for Future Wireless Networks,http://www.wikidata.org/entity/Q106244030,https://dblp.org/db/conf/5gwn/5gwn2019.html
"Geographic Information Science, 5th International Conference, GIScience 2008, Park City, UT, USA, September 23-26, 2008",GIScience 2008,5.0,,United States of America,2008-09-23,2008-09-26,2008.0,,,International Conference Geographic Information Science,http://www.wikidata.org/entity/Q106244015,https://dblp.org/db/conf/giscience/giscience2008.html
"IEEE First Symposium on Network/Cloud Computing and Applications, NCCA 2011, Toulouse, France, November 21-23, 2011",NCCA 2011,1.0,Toulouse,France,2011-11-21,2011-11-23,2011.0,,,Symposium on Network/Cloud Computing and Applications,http://www.wikidata.org/entity/Q106339319,https://dblp.org/db/conf/ncca/ncca2011.html
"Cryptology and Network Security, 8th International Conference, CANS 2009, Kanazawa, Japan, December 12-14, 2009",CANS 2009,8.0,Kanazawa,Japan,2009-12-12,2009-12-14,2009.0,,,Cryptology and Network Security,http://www.wikidata.org/entity/Q106332139,https://dblp.org/db/conf/cans/cans2009.html
"Cryptology and Network Security, 4th International Conference, CANS 2005, Xiamen, China, December 14-16, 2005",CANS 2005,4.0,Xiamen,People's Republic of China,2005-12-14,2005-12-16,2005.0,,,Cryptology and Network Security,http://www.wikidata.org/entity/Q106332141,https://dblp.org/db/conf/cans/cans2005.html
"2nd IEEE Latin American Conference on Cloud Computing and Communications, Maceio, Brazil, December 9-10, 2013",LatinCloud 2013,2.0,,Brazil,2013-12-09,2013-12-10,2013.0,,,Latin American Conference on Cloud Computing and Communications,http://www.wikidata.org/entity/Q106338759,https://dblp.org/db/conf/latincloud/latincloud2013.html
"2015 Conference on Innovations in Theoretical Computer Science, ITCS 2015, Rehovot, Israel, January 11-13, 2015",ITCS 2015,6.0,,Israel,2015-01-11,2015-01-13,2015.0,,,Innovations in Theoretical Computer Science,http://www.wikidata.org/entity/Q106243967,https://dblp.org/db/conf/innovations/innovations2015.html
"Innovations in Theoretical Computer Science, ITCS '13, Berkeley, CA, USA, January 9-12, 2013",ITCS 2013,4.0,,United States of America,2013-01-09,2013-01-12,2013.0,,,Innovations in Theoretical Computer Science,http://www.wikidata.org/entity/Q106243969,https://dblp.org/db/conf/innovations/innovations2013.html
"Innovations in Theoretical Computer Science 2012, Cambridge, MA, USA, January 8-10, 2012",ITCS 2012,3.0,,United States of America,2012-01-08,2012-01-10,2012.0,,,Innovations in Theoretical Computer Science,http://www.wikidata.org/entity/Q106243970,https://dblp.org/db/conf/innovations/innovations2012.html
"Fourth National Conference on Computer Vision, Pattern Recognition, Image Processing and Graphics, NCVPRIPG 2013, Jodhpur, India, December 18-21, 2013",NCVPRIPG 2013,4.0,,India,2013-12-18,2013-12-21,2013.0,,,"National Conference on Computer Vision, Pattern Recognition, Image Processing, and Graphics",http://www.wikidata.org/entity/Q106338920,https://dblp.org/db/conf/ncvpripg/ncvpripg2013.html
"Computer Vision, Pattern Recognition, Image Processing, and Graphics - 6th National Conference, NCVPRIPG 2017, Mandi, India, December 16-19, 2017",NCVPRIPG 2017,6.0,,India,2017-12-16,2017-12-19,2017.0,,,"National Conference on Computer Vision, Pattern Recognition, Image Processing, and Graphics",http://www.wikidata.org/entity/Q106338919,https://dblp.org/db/conf/ncvpripg/ncvpripg2017.html
"Scale Space and PDE Methods in Computer Vision, 5th International Conference, Scale-Space 2005, Hofgeismar, Germany, April 7-9, 2005",Scale-Space 2005,5.0,,Germany,2005-04-07,2005-04-09,2005.0,,,Scale Space and Variational Methods in Computer Vision,http://www.wikidata.org/entity/Q106339155,https://dblp.org/db/conf/scalespace/scalespace2005.html
"Thirtieth International Florida Artificial Intelligence Research Society Conference, FLAIRS 2017, Marco Island, Florida, USA, May 22-24, 2017",FLAIRS Conference 2017,30.0,,United States of America,2017-05-22,2017-05-24,2017.0,,,Florida AI Research Society,http://www.wikidata.org/entity/Q106339382,https://dblp.org/db/conf/flairs/flairs2017.html
"Thirty-Third International Florida Artificial Intelligence Research Society Conference, Originally to be held in North Miami Beach, Florida, USA, May 17-20, 2020",FLAIRS Conference 2020,33.0,,United States of America,2020-05-17,2020-05-20,2020.0,,,Florida AI Research Society,http://www.wikidata.org/entity/Q106339381,https://dblp.org/db/conf/flairs/flairs2020.html
"Logic and Its Applications - 6th Indian Conference, ICLA 2015, Mumbai, India, January 8-10, 2015",ICLA 2015,6.0,,India,2015-01-08,2015-01-10,2015.0,,,Indian Conference on Logic and Its Applications,http://www.wikidata.org/entity/Q106243935,https://dblp.org/db/conf/icla/icla2015.html
"Pattern Recognition - Third Mexican Conference, MCPR 2011, Cancun, Mexico, June 29 - July 2, 2011",MCPR 2011,3.0,,Mexico,2011-06-29,2011-07-02,2011.0,,,Mexican Conference on Pattern Recognition,http://www.wikidata.org/entity/Q106338845,https://dblp.org/db/conf/mcpr2/mcpr2011.html
"HCI and Usability for Education and Work, 4th Symposium of the Workgroup Human-Computer Interaction and Usability Engineering of the Austrian Computer Society, USAB 2008, Graz, Austria, November 20-21, 2008",USAB 2008,4.0,Graz,Austria,2008-11-20,2008-11-21,2008.0,,,Symposium of the Workgroup Human-Computer Interaction and Usability Engineering of the Austrian Computer Society,http://www.wikidata.org/entity/Q106339296,https://dblp.org/db/conf/usab/usab2008.html
"ICVGIP 2002, Third Indian Conference on Computer Vision, Graphics & Image Processing, Ahmadabad, India, December 16-18, 2002",ICVGIP 2002,3.0,,India,2002-12-16,2002-12-18,2002.0,,,"Indian Conference on Computer Vision, Graphics & Image Processing",http://www.wikidata.org/entity/Q106243933,https://dblp.org/db/conf/icvgip/icvgip2002.html
"11th ACM SIGCOMM Internet Measurement Conference, IMC '11, Berlin, Germany, November 2-4, 2011",IMC 2011,11.0,Berlin,Germany,2011-11-02,2011-11-04,2011.0,,,ACM/SIGCOMM Internet Measurement Conference,http://www.wikidata.org/entity/Q106304131,https://dblp.org/db/conf/imc/imc2011.html
"2nd Mediterranean Conference on Pattern Recognition and Artificial Intelligence, MedPRAI 2018, Rabat, Morocco, March 27-28, 2018",MedPRAI 2018,2.0,,Morocco,2018-03-27,2018-03-28,2018.0,,,Mediterranean Conference on Pattern Recognition and Artificial Intelligence,http://www.wikidata.org/entity/Q106338835,https://dblp.org/db/conf/medprai/medprai2018.html
"Pattern Recognition and Artificial Intelligence - Third Mediterranean Conference, MedPRAI 2019, Istanbul, Turkey, December 22-23, 2019",MedPRAI 2019,3.0,Istanbul,Turkey,2019-12-22,2019-12-23,2019.0,,,Mediterranean Conference on Pattern Recognition and Artificial Intelligence,http://www.wikidata.org/entity/Q106338834,https://dblp.org/db/conf/medprai/medprai2019.html
"Logic and Its Applications - 7th Indian Conference, ICLA 2017, Kanpur, India, January 5-7, 2017",ICLA 2017,7.0,,India,2017-01-05,2017-01-07,2017.0,,,Indian Conference on Logic and Its Applications,http://www.wikidata.org/entity/Q106243934,https://dblp.org/db/conf/icla/icla2017.html
"ICVGIP 2018: 11th Indian Conference on Computer Vision, Graphics and Image Processing, Hyderabad, India, 18-22 December, 2018",ICVGIP 2018,11.0,Hyderabad,India,2018-12-18,2018-12-22,2018.0,,,"Indian Conference on Computer Vision, Graphics & Image Processing",http://www.wikidata.org/entity/Q106243931,https://dblp.org/db/conf/icvgip/icvgip2018.html
"10th IEEE International Model-Driven Requirements Engineering, MoDRE@RE 2020, Zurich, Switzerland, August 31, 2020",MoDRE@RE 2020,10.0,Zürich,Switzerland,,,,,,Model-Driven Requirements Engineering Workshop,http://www.wikidata.org/entity/Q106338862,https://dblp.org/db/conf/modre-ws/modre-ws2020.html
"20th IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing, CCGRID 2020, Melbourne, Australia, May 11-14, 2020",CCGRID 2020,20.0,Melbourne,Australia,2020-05-11,2020-05-14,2020.0,,,"IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing",http://www.wikidata.org/entity/Q106304397,https://dblp.org/db/conf/ccgrid/ccgrid2020.html
"Computer Vision, Graphics and Image Processing, 5th Indian Conference, ICVGIP 2006, Madurai, India, December 13-16, 2006",ICVGIP 2006,5.0,,India,2006-12-13,2006-12-16,2006.0,,,"Indian Conference on Computer Vision, Graphics & Image Processing",http://www.wikidata.org/entity/Q106243932,https://dblp.org/db/conf/icvgip/icvgip2006.html
"Technologies for Advanced Heterogeneous Networks, First Asian Internet Engineering Conference, AINTEC 2005, Bangkok, Thailand, December 13-15, 2005",AINTEC 2005,1.0,Bangkok,Thailand,2005-12-13,2005-12-15,2005.0,,,Asian Internet Engineering Conference,http://www.wikidata.org/entity/Q106242925,https://dblp.org/db/conf/aintec/aintec2005.html
"ICT Systems Security and Privacy Protection - 35th IFIP TC 11 International Conference, SEC 2020, Maribor, Slovenia, September 21-23, 2020",SEC 2020,35.0,,Slovenia,2020-09-21,2020-09-23,2020.0,,,IFIP International Information Security Conference,http://www.wikidata.org/entity/Q106243878,https://dblp.org/db/conf/sec/sec2020.html
"Cryptography and Coding - 13th IMA International Conference, IMACC 2011, Oxford, UK, December 12-15, 2011",IMACC 2011,13.0,Oxford,United Kingdom,2011-12-12,2011-12-15,2011.0,,,IMA Conference on Cryptography and Coding,http://www.wikidata.org/entity/Q106243913,https://dblp.org/db/conf/ima/ima2011.html
